"twitter","id","name","age","gender","party","type","state","joined","days","tweets","followers","following"
"RepGoodlatte","G000289","Bob Goodlatte",61,"M","Republican","rep","VA","2009-05-05 13:18:55",1889,2498,12242,213
"RepGosar","G000565","Paul Gosar",55,"M","Republican","rep","AZ","2011-01-20 17:44:27",1264,4490,10965,2988
"RepGraceMeng","M001188","Grace Meng",38,"F","Democrat","rep","NY","2012-12-31 20:28:41",553,1451,4081,545
"RepGregWalden","W000791","Greg Walden",57,"M","Republican","rep","OR","2009-04-16 17:31:34",1908,1095,10340,168
"RepGusBilirakis","B001257","Gus Bilirakis",51,"M","Republican","rep","FL","2009-03-23 17:56:32",1932,2624,10549,1187
"RepGuthrie","G000558","Brett Guthrie",50,"M","Republican","rep","KY","2013-09-26 14:37:17",284,282,656,335
"RepGwenMoore","M001160","Gwen Moore",63,"F","Democrat","rep","WI","2009-03-03 20:02:57",1952,3218,10597,485
"RepHalRogers","R000395","Harold Rogers",76,"M","Republican","rep","KY","2012-04-10 19:59:22",818,1442,3735,421
"RepHanabusa","H001050","Colleen Hanabusa",63,"F","Democrat","rep","HI","2011-01-08 01:13:45",1276,1017,5984,813
"RepHankJohnson","J000288","Henry Johnson",59,"M","Democrat","rep","GA","2009-03-16 18:52:49",1939,1588,9991,359
"RepHartzler","H001053","Vicky Hartzler",53,"F","Republican","rep","MO","2011-01-13 15:38:52",1271,2614,7085,683
"RepHastingsFL","H000324","Alcee Hastings",77,"M","Democrat","rep","FL","2014-04-08 14:53:21",90,44,209,31
"RepHensarling","H001036","Jeb Hensarling",57,"M","Republican","rep","TX","2009-01-02 23:08:57",2012,564,11311,791
"RepHolding","H001065","George Holding",46,"M","Republican","rep","NC","2013-01-03 18:27:36",550,346,3030,264
"RepHorsford","H001066","Steven Horsford",41,"M","Democrat","rep","NV","2011-10-13 02:23:25",998,1349,5413,1230
"RepHuffman","H001068","Jared Huffman",50,"M","Democrat","rep","CA","2013-01-08 14:52:00",545,895,3309,600
"RepHuizenga","H001058","Bill Huizenga",45,"M","Republican","rep","MI","2011-01-04 14:01:28",1280,4046,7944,3469
"RepHultgren","H001059","Randy Hultgren",48,"M","Republican","rep","IL","2011-01-13 18:03:42",1271,1976,6818,1745
"RepJBridenstine","B001283","Jim Bridenstine",39,"M","Republican","rep","OK","2013-01-15 17:33:38",538,898,13245,2559
"RepJasonSmith","S001195","Jason Smith",34,"M","Republican","rep","MO","2013-07-26 16:13:03",346,1223,2116,1085
"RepJeffDenham","D000612","Jeff Denham",46,"M","Republican","rep","CA","2011-02-07 15:01:35",1246,1590,7651,1363
"RepJeffDuncan","D000615","Jeff Duncan",48,"M","Republican","rep","SC","2011-01-19 20:45:16",1265,2644,18449,7030
"RepJeffries","J000294","Hakeem Jeffries",43,"M","Democrat","rep","NY","2012-01-18 21:54:44",901,564,4190,607
"RepJerryNadler","N000002","Jerrold Nadler",67,"M","Democrat","rep","NY","2009-05-15 18:37:39",1879,921,6824,921
"RepJimCooper","C000754","Jim Cooper",60,"M","Democrat","rep","TN","2009-03-02 14:25:32",1953,669,5930,325
"RepJimCosta","C001059","Jim Costa",62,"M","Democrat","rep","CA","2011-01-31 18:42:23",1253,725,2628,431
"RepJimMatheson","M001142","Jim Matheson",54,"M","Democrat","rep","UT","2009-06-10 02:35:22",1853,1160,8320,83
"RepJimMcDermott","M000404","Jim McDermott",77,"M","Democrat","rep","WA","2010-04-12 15:27:16",1547,1621,10546,1077
"RepJimRenacci","R000586","James Renacci",55,"M","Republican","rep","OH","2011-01-11 17:20:35",1273,1882,7376,600
"RepJoeBarton","B000213","Joe Barton",64,"M","Republican","rep","TX","2009-02-02 20:30:20",1981,1102,13672,84
"RepJoeCourtney","C001069","Joe Courtney",61,"M","Democrat","rep","CT","2009-10-26 19:45:09",1715,2985,8465,1754
"RepJoeCrowley","C001038","Joseph Crowley",52,"M","Democrat","rep","NY","2010-02-05 16:39:11",1613,1170,6801,350
"RepJoeGarcia","G000573","Joe Garcia",50,"M","Democrat","rep","FL","2012-11-09 21:29:03",605,1515,1976,609
"RepJoeHeck","H001055","Joseph Heck",52,"M","Republican","rep","NV","2010-12-02 23:59:37",1313,2404,6885,83
"RepJoeKennedy","K000379","Joseph Kennedy",33,"M","Democrat","rep","MA","2013-01-02 19:33:36",551,1170,11254,130
"RepJoePitts","P000373","Joseph Pitts",74,"M","Republican","rep","PA","2010-10-04 15:09:48",1372,810,5648,58
"RepJohnBarrow","B001252","John Barrow",58,"M","Democrat","rep","GA","2009-03-04 18:34:00",1951,856,7714,403
"RepJohnCampbell","C001064","John Campbell",59,"M","Republican","rep","CA","2011-02-07 15:46:51",1246,633,6071,369
"RepJohnConyers","C000714","John Conyers",85,"M","Democrat","rep","MI","2010-04-30 14:49:06",1529,1096,13087,593
"RepJohnDelaney","D000620","John Delaney",51,"M","Democrat","rep","MD","2012-11-09 20:40:22",605,1839,2881,613
"RepJohnDuncanJr","D000533","John Duncan",67,"M","Republican","rep","TN","2013-09-19 14:50:04",291,193,793,178
"RepJohnKline","K000363","John Kline",66,"M","Republican","rep","MN","2009-09-22 14:43:45",1749,2311,6677,188
"RepJohnLarson","L000557","John Larson",66,"M","Democrat","rep","CT","2009-06-24 21:47:31",1839,1141,8647,333
"RepJohnLewis","L000287","John Lewis",74,"M","Democrat","rep","GA","2009-04-07 13:49:52",1917,1003,35925,174
"RepJohnSarbanes","S001168","John Sarbanes",52,"M","Democrat","rep","MD","2011-08-29 18:44:47",1043,414,3900,387
"RepJohnYarmuth","Y000062","John Yarmuth",66,"M","Democrat","rep","KY","2011-10-04 15:07:38",1007,1295,7487,219
"RepJonRunyan","R000594","Jon Runyan",40,"M","Republican","rep","NJ","2011-06-01 20:22:57",1132,748,5488,584
"RepJoseSerrano","S000248","José Serrano",70,"M","Democrat","rep","NY","2009-04-20 16:06:56",1904,1846,10394,559
"RepJuanVargas","V000130","Juan Vargas",53,"M","Democrat","rep","CA","2013-03-11 19:04:01",483,299,2147,51
"RepJudyChu","C001080","Judy Chu",61,"F","Democrat","rep","CA","2010-09-22 15:18:17",1384,1370,9376,823
"RepJustinAmash","A000367","Justin Amash",34,"M","Republican","rep","MI","2011-01-04 07:09:11",1280,6741,48941,2677
"RepKClark","C001101","Katherine Clark",51,"F","Democrat","rep","MA","2014-01-15 18:53:47",173,368,1448,876
"RepKarenBass","B001270","Karen Bass",60,"F","Democrat","rep","CA","2011-01-18 20:25:36",1266,1701,19885,15391
"RepKayGranger","G000377","Kay Granger",71,"F","Republican","rep","TX","2010-07-01 17:14:51",1467,1119,7604,1070
"RepKenMarchant","M001158","Kenny Marchant",63,"M","Republican","rep","TX","2009-03-12 16:19:18",1943,4529,11603,2226
"RepKerryB","B001280","Kerry Bentivolio",62,"M","Republican","rep","MI","2012-11-23 16:41:08",591,950,3135,1404
"RepKevinBrady","B000755","Kevin Brady",59,"M","Republican","rep","TX","2009-02-02 19:57:06",1981,6274,12454,340
"RepKevinCramer","C001096","Kevin Cramer",53,"M","Republican","rep","ND","2012-12-30 20:54:06",554,691,2902,616
"RepKevinYoder","Y000063","Kevin Yoder",38,"M","Republican","rep","KS","2011-02-16 00:04:41",1237,3435,7203,1354
"RepKinzinger","K000378","Adam Kinzinger",36,"M","Republican","rep","IL","2010-11-24 21:04:11",1321,1941,11135,924
"RepKirkpatrick","K000368","Ann Kirkpatrick",64,"F","Democrat","rep","AZ","2013-01-14 19:53:56",539,898,4017,1040
"RepKristiNoem","N000184","Kristi Noem",42,"F","Republican","rep","SD","2011-01-07 18:44:34",1277,1658,13236,339
"RepLaMalfa","L000578","Doug LaMalfa",54,"M","Republican","rep","CA","2013-01-07 20:07:58",546,183,1631,770
"RepLanceNJ7","L000567","Leonard Lance",62,"M","Republican","rep","NJ","2012-06-20 20:19:40",747,591,2314,218
"RepLankford","L000575","James Lankford",46,"M","Republican","rep","OK","2010-12-12 20:33:07",1303,2168,10737,441
"RepLarryBucshon","B001275","Larry Bucshon",52,"M","Republican","rep","IN","2011-01-06 16:45:56",1278,2839,7075,1108
"RepLindaSanchez","S001156","Linda Sánchez",45,"F","Democrat","rep","CA","2011-06-06 16:50:45",1127,1377,5804,1012
"RepLipinski","L000563","Daniel Lipinski",48,"M","Democrat","rep","IL","2012-12-13 17:03:06",571,446,1788,510
"RepLloydDoggett","D000399","Lloyd Doggett",67,"M","Democrat","rep","TX","2010-06-09 23:53:50",1489,1445,9343,280
"RepLoBiondo","L000554","Frank LoBiondo",68,"M","Republican","rep","NJ","2011-01-21 18:28:47",1263,1883,5448,195
"RepLoisCapps","C001036","Lois Capps",76,"F","Democrat","rep","CA","2011-05-04 15:39:31",1160,1528,6343,825
"RepLoisFrankel","F000462","Lois Frankel",66,"F","Democrat","rep","FL","2013-01-10 16:58:38",543,725,3180,354
"RepLouBarletta","B001269","Lou Barletta",58,"M","Republican","rep","PA","2011-01-18 16:37:10",1266,1037,7274,1656
"RepLouieGohmert","G000552","Louie Gohmert",60,"M","Republican","rep","TX","2009-02-26 20:14:28",1957,2632,29966,358
"RepLowenthal","L000579","Alan Lowenthal",73,"M","Democrat","rep","CA","2013-01-02 18:11:33",551,909,3459,2164
"RepLujanGrisham","L000580","Michelle Lujan Grisham",54,"F","Democrat","rep","NM","2013-01-04 20:46:03",549,986,3633,411
"RepLukeMesser","M001189","Luke Messer",45,"M","Republican","rep","IN","2012-12-29 20:06:12",555,672,3344,621
"RepLynnJenkins","J000290","Lynn Jenkins",51,"F","Republican","rep","KS","2009-01-28 15:54:00",1986,3930,13014,4616
"RepMGriffith","G000568","H. Griffith",56,"M","Republican","rep","VA","2011-01-04 19:05:24",1280,708,6659,400
"RepMaloney","M000087","Carolyn Maloney",68,"F","Democrat","rep","NY","2011-02-28 19:06:50",1225,948,7788,3304
"RepMarciaFudge","F000455","Marcia Fudge",61,"F","Democrat","rep","OH","2010-06-08 17:54:06",1490,1761,11127,1146
"RepMarcyKaptur","K000009","Marcy Kaptur",68,"F","Democrat","rep","OH","2012-05-15 16:57:51",783,418,2867,193
"RepMarkMeadows","M001187","Mark Meadows",54,"M","Republican","rep","NC","2012-11-22 02:20:50",592,1171,4481,1571
"RepMarkPocan","P000607","Mark Pocan",49,"M","Democrat","rep","WI","2013-02-21 22:59:04",501,1459,3565,695
"RepMarkTakano","T000472","Mark Takano",53,"M","Democrat","rep","CA","2012-12-26 14:58:17",558,791,6138,1998
"RepMarthaRoby","R000591","Martha Roby",37,"F","Republican","rep","AL","2010-12-08 16:56:29",1307,4421,11417,2064
"RepMattSalmon","S000018","Matt Salmon",56,"M","Republican","rep","AZ","2013-01-09 00:05:57",544,1441,4830,2536
"RepMcAllister","M001192","Vance McAllister",40,"M","Republican","rep","LA","2013-12-12 16:46:50",207,78,621,178
"RepMcCarthyNY","M000309","Carolyn McCarthy",70,"F","Democrat","rep","NY","2010-06-01 17:15:15",1497,186,4923,57
"RepMcClintock","M001177","Tom McClintock",58,"M","Republican","rep","CA","2009-06-24 00:21:07",1839,203,7988,0
"RepMcGovern","M000312","James McGovern",54,"M","Democrat","rep","MA","2011-01-24 19:18:36",1260,2121,11025,486
"RepMcKinley","M001180","David McKinley",67,"M","Republican","rep","WV","2011-01-19 22:29:00",1265,1932,6397,204
"RepMcLeod","N000187","Gloria Negrete McLeod",72,"F","Democrat","rep","CA","2012-12-21 21:13:04",563,261,2368,226
"RepMcNerney","M001166","Jerry McNerney",63,"M","Democrat","rep","CA","2011-10-05 13:52:58",1006,646,3897,386
"RepMeehan","M001181","Patrick Meehan",58,"M","Republican","rep","PA","2011-02-07 21:19:34",1246,1801,6685,910
"RepMichaelGrimm","G000569","Michael Grimm",44,"M","Republican","rep","NY","2011-01-07 18:08:22",1277,333,7486,100
"RepMickMulvaney","M001182","Mick Mulvaney",46,"M","Republican","rep","SC","2011-01-19 20:18:39",1265,972,7924,5852
"RepMikeCoffman","C001077","Mike Coffman",59,"M","Republican","rep","CO","2009-01-23 19:04:01",1991,1620,13005,1320
"RepMikeHonda","H001034","Michael Honda",73,"M","Democrat","rep","CA","2008-10-03 20:18:31",2103,1279,13888,322
"RepMikeMcIntyre","M000485","Mike McIntyre",57,"M","Democrat","rep","NC","2010-11-19 20:48:50",1326,1441,5135,146
"RepMikeMichaud","M001149","Michael Michaud",59,"M","Democrat","rep","ME","2009-02-02 17:42:15",1981,550,8751,10
"RepMikePompeo","P000602","Mike Pompeo",50,"M","Republican","rep","KS","2011-01-28 22:54:50",1256,2063,6564,1348
"RepMikeQuigley","Q000023","Mike Quigley",55,"M","Democrat","rep","IL","2009-07-15 00:10:43",1818,3969,9685,1600
"RepMikeRogers","R000572","Mike Rogers",51,"M","Republican","rep","MI","2010-06-17 17:32:16",1481,1185,7897,444
"RepMikeRogersAL","R000575","Mike Rogers",56,"M","Republican","rep","AL","2009-04-21 17:43:28",1903,1866,10659,2846
"RepMikeTurner","T000463","Michael Turner",54,"M","Republican","rep","OH","2009-06-26 21:15:07",1837,1417,5520,649
"RepMoBrooks","B001274","Mo Brooks",60,"M","Republican","rep","AL","2011-01-12 14:46:14",1272,442,7141,1965
"RepMullin","M001190","Markwayne Mullin",36,"M","Republican","rep","OK","2013-01-04 12:43:55",549,911,3799,1038
"RepMurphyFL","M001191","Patrick Murphy",31,"M","Democrat","rep","FL","2013-01-28 17:56:38",525,881,3149,444
"RepPaulBrounMD","B001262","Paul Broun",68,"M","Republican","rep","GA","2009-01-09 19:06:27",2005,1417,13423,2819
"RepPaulCook","C001094","Paul Cook",71,"M","Republican","rep","CA","2013-01-09 17:43:44",544,452,2348,929
"RepPaulRyan","R000570","Paul Ryan",44,"M","Republican","rep","WI","2009-01-12 21:31:25",2002,1287,383978,1
"RepPaulTonko","T000469","Paul Tonko",65,"M","Democrat","rep","NY","2009-10-21 17:24:57",1720,3708,8070,1058
"RepPerlmutter","P000593","Ed Perlmutter",61,"M","Democrat","rep","CO","2009-02-10 22:17:52",1973,976,9592,242
"RepPeteGallego","G000572","Pete Gallego",52,"M","Democrat","rep","TX","2013-01-09 00:52:58",544,2122,3681,753
"RepPeteKing","K000210","Peter King",70,"M","Republican","rep","NY","2008-12-21 02:49:32",2024,1817,17982,95
"RepPeterDeFazio","D000191","Peter DeFazio",67,"M","Democrat","rep","OR","2011-02-14 20:20:20",1239,471,7943,739
"RepPhilGingrey","G000550","Phil Gingrey",72,"M","Republican","rep","GA","2009-04-17 18:17:01",1907,1800,13778,1088
"RepPittenger","P000606","Robert Pittenger",65,"M","Republican","rep","NC","2012-11-15 19:31:22",599,2312,2999,1183
"RepRWilliams","W000816","Roger Williams",64,"M","Republican","rep","TX","2013-01-10 19:21:22",543,748,1738,429
"RepReneeEllmers","E000291","Renee Ellmers",50,"F","Republican","rep","NC","2010-11-09 12:15:55",1336,4399,11624,3130
"RepRibble","R000587","Reid Ribble",58,"M","Republican","rep","WI","2011-01-04 18:55:59",1280,671,6658,550
"RepRichHudson","H001067","Richard Hudson",42,"M","Republican","rep","NC","2012-11-08 17:41:00",606,1621,3865,1067
"RepRichNugent","N000185","Richard Nugent",63,"M","Republican","rep","FL","2011-01-10 17:48:59",1274,64,2615,172
"RepRichardHanna","H001051","Richard Hanna",63,"M","Republican","rep","NY","2011-01-11 16:34:58",1273,2372,7280,414
"RepRichardNeal","N000015","Richard Neal",65,"M","Democrat","rep","MA","2011-12-21 14:18:30",929,528,3025,15
"RepRichmond","R000588","Cedric Richmond",40,"M","Democrat","rep","LA","2011-03-17 17:30:45",1208,1225,6089,860
"RepRickCrawford","C001087","Eric Crawford",48,"M","Republican","rep","AR","2011-01-03 21:57:49",1281,1874,7364,1158
"RepRickLarsen","L000560","Rick Larsen",49,"M","Democrat","rep","WA","2011-11-03 13:59:42",977,2319,3701,1198
"RepRobBishop","B001250","Rob Bishop",63,"M","Republican","rep","UT","2010-05-25 16:02:26",1504,0,1088,95
"RepRobertHurt","H001060","Robert Hurt",45,"M","Republican","rep","VA","2011-01-06 18:01:58",1278,1652,6721,527
"RepRobinKelly","K000385","Robin Kelly",58,"F","Democrat","rep","IL","2013-04-09 19:02:01",454,553,1183,278
"RepRonBarber","B001279","Ron Barber",68,"M","Democrat","rep","AZ","2012-06-19 00:10:53",748,1634,3580,233
"RepRonKind","K000188","Ron Kind",51,"M","Democrat","rep","WI","2010-02-09 15:14:02",1609,777,6198,561
"RepRoybalAllard","R000486","Lucille Roybal-Allard",73,"F","Democrat","rep","CA","2012-01-31 21:30:43",888,736,2745,483
"RepSamFarr","F000030","Sam Farr",73,"M","Democrat","rep","CA","2010-06-22 15:30:19",1476,957,7288,687
"RepSandyLevin","L000263","Sander Levin",82,"M","Democrat","rep","MI","2009-03-22 04:32:56",1933,1296,15428,13524
"RepSanfordSC","S000051","Marshall Sanford",54,"M","Republican","rep","SC","2013-06-11 01:55:44",391,109,1321,220
"RepSchneider","S001190","Bradley Schneider",52,"M","Democrat","rep","IL","2013-01-08 19:59:14",545,922,3061,664
"RepSchrader","S001180","Kurt Schrader",62,"M","Democrat","rep","OR","2009-02-10 21:04:21",1973,1040,8513,662
"RepScottPerry","P000605","Scott Perry",52,"M","Republican","rep","PA","2009-01-08 18:29:58",2006,1181,4081,1974
"RepScottPeters","P000608","Scott Peters",56,"M","Democrat","rep","CA","2013-01-30 23:28:14",523,2611,3173,688
"RepScottRigell","R000589","Edward Rigell",54,"M","Republican","rep","VA","2010-12-01 16:41:57",1314,3079,8077,2544
"RepSeanDuffy","D000614","Sean Duffy",42,"M","Republican","rep","WI","2011-01-04 17:28:01",1280,1865,12594,2586
"RepSeanMaloney","M001185","Sean Maloney",47,"M","Democrat","rep","NY","2013-01-09 01:00:33",544,1100,3083,331
"RepSheaPorter","S001170","Carol Shea-Porter",61,"F","Democrat","rep","NH","2010-03-25 01:42:47",1565,534,3014,450
"RepShelley","C001047","Shelley Capito",60,"F","Republican","rep","WV","2010-09-22 18:06:14",1384,1167,9315,916
"RepShimkus","S000364","John Shimkus",56,"M","Republican","rep","IL","2008-07-25 17:01:16",2173,6666,11502,845
"RepSinema","S001191","Kyrsten Sinema",38,"F","Democrat","rep","AZ","2013-01-11 20:31:03",542,3253,6901,704
"RepSpeier","S001175","Jackie Speier",64,"F","Democrat","rep","CA","2009-03-17 17:02:38",1938,1881,12824,1002
"RepStephenLynch","L000562","Stephen Lynch",59,"M","Democrat","rep","MA","2011-06-03 14:48:36",1130,645,4067,186
"RepSteveChabot","C000266","Steve Chabot",61,"M","Republican","rep","OH","2011-01-13 15:03:08",1271,1222,8732,5772
"RepSteveIsrael","I000057","Steve Israel",56,"M","Democrat","rep","NY","2009-02-03 20:45:30",1980,2134,13458,278
"RepStevePearce","P000588","Stevan Pearce",66,"M","Republican","rep","NM","2011-01-07 19:44:44",1277,2348,6078,684
"RepSteveStivers","S001187","Steve Stivers",49,"M","Republican","rep","OH","2010-11-03 05:57:36",1342,1469,7563,896
"RepStutzman","S001188","Marlin Stutzman",37,"M","Republican","rep","IN","2010-11-04 16:00:16",1341,839,5107,221
"RepSusanDavis","D000598","Susan Davis",70,"F","Democrat","rep","CA","2011-12-09 19:22:25",941,625,2165,64
"RepSwalwell","S001193","Eric Swalwell",33,"M","Democrat","rep","CA","2012-11-11 20:26:01",603,2602,5564,2339
"RepTedDeutch","D000610","Theodore Deutch",48,"M","Democrat","rep","FL","2010-04-27 19:51:54",1532,1512,8715,1298
"RepTedYoho","Y000065","Ted Yoho",59,"M","Republican","rep","FL","2013-01-08 20:25:18",545,324,3030,327
"RepTerriSewell","S001185","Terri Sewell",49,"F","Democrat","rep","AL","2011-09-27 20:47:50",1014,1200,6378,829
"RepThomasMassie","M001184","Thomas Massie",43,"M","Republican","rep","KY","2012-11-28 02:33:14",586,1380,10201,529
"RepThompson","T000460","Mike Thompson",63,"M","Democrat","rep","CA","2011-05-23 14:58:06",1141,667,2915,277
"RepTierney","T000266","John Tierney",62,"M","Democrat","rep","MA","2011-10-03 16:10:47",1008,818,4914,223
"RepTimGriffin","G000567","Tim Griffin",45,"M","Republican","rep","AR","2010-10-11 01:14:22",1365,6489,11308,3977
"RepTimMurphy","M001151","Tim Murphy",61,"M","Republican","rep","PA","2010-02-26 15:45:58",1592,1406,6681,449
"RepTimRyan","R000577","Tim Ryan",41,"M","Democrat","rep","OH","2008-02-14 21:57:32",2335,1699,18747,1329
"RepTimWalz","W000799","Timothy Walz",50,"M","Democrat","rep","MN","2013-03-12 20:27:45",482,441,1678,740
"RepTipton","T000470","Scott Tipton",57,"M","Republican","rep","CO","2011-01-25 20:01:25",1259,993,6456,1120
"RepToddYoung","Y000064","Todd Young",41,"M","Republican","rep","IN","2011-01-04 22:35:16",1280,2035,7091,422
"RepTomCotton","C001095","Tom Cotton",37,"M","Republican","rep","AR","2012-11-24 19:33:10",590,1411,5962,322
"RepTomGraves","G000560","Tom Graves",44,"M","Republican","rep","GA","2010-09-13 17:36:23",1393,2173,9402,2781
"RepTomMarino","M001179","Tom Marino",61,"M","Republican","rep","PA","2011-01-19 19:11:27",1265,1539,6859,749
"RepTomPrice","P000591","Tom Price",59,"M","Republican","rep","GA","2007-06-04 19:24:39",2590,4272,22900,3099
"RepTomReed","R000585","Tom Reed",42,"M","Republican","rep","NY","2011-02-16 00:03:43",1237,602,5681,125
"RepTomRice","R000597","Tom Rice",56,"M","Republican","rep","SC","2013-01-03 17:35:05",550,350,3029,300
"RepTrentFranks","F000448","Trent Franks",57,"M","Republican","rep","AZ","2009-03-16 21:27:49",1939,980,13327,1207
"RepVeasey","V000131","Marc Veasey",43,"M","Democrat","rep","TX","2013-01-09 15:49:27",544,780,3360,2264
"RepVisclosky","V000108","Peter Visclosky",64,"M","Democrat","rep","IN","2010-09-22 21:24:46",1384,1207,3984,856
"RepWOLFPress","W000672","Frank Wolf",75,"M","Republican","rep","VA","2011-01-12 20:12:13",1272,321,4999,379
"RepWalberg","W000798","Tim Walberg",63,"M","Republican","rep","MI","2011-01-13 20:26:26",1271,1405,6877,374
"RepWalorski","W000813","Jackie Walorski",50,"F","Republican","rep","IN","2013-01-06 15:41:40",547,1532,3268,686
"RepWalterJones","J000255","Walter Jones",71,"M","Republican","rep","NC","2009-03-26 15:50:58",1929,1083,10826,133
"RepWebster","W000806","Daniel Webster",65,"M","Republican","rep","FL","2011-04-13 13:47:05",1181,1703,4688,326
"RepWestmoreland","W000796","Lynn Westmoreland",64,"M","Republican","rep","GA","2010-04-26 17:19:38",1533,1897,7177,490
"RepWilson","W000808","Frederica Wilson",71,"F","Democrat","rep","FL","2011-01-04 17:08:09",1280,2150,7661,1447
"RepZoeLofgren","L000397","Zoe Lofgren",66,"F","Democrat","rep","CA","2011-03-17 21:06:21",1208,843,5121,44
"Rep_Albio_Sires","S001165","Albio Sires",63,"M","Democrat","rep","NJ","2013-11-14 04:01:58",235,1,17,6
"Rep_DevinNunes","N000181","Devin Nunes",40,"M","Republican","rep","CA","2011-07-29 21:40:22",1074,2,427,0
"Rep_Hunter","H001048","Duncan Hunter",37,"M","Republican","rep","CA","2013-03-26 21:04:26",468,211,2686,236
"Rep_JaniceHahn","H001063","Janice Hahn",62,"F","Democrat","rep","CA","2011-07-21 19:22:22",1082,1645,5406,878
"Rep_Southerland","S001186","Steve Southerland",48,"M","Republican","rep","FL","2011-01-13 16:28:13",1271,624,7896,611
"Rep_SteveWomack","W000809","Steve Womack",57,"M","Republican","rep","AR","2011-01-05 18:53:03",1279,2403,7581,1070
"RepraulGrijalva","G000551","Raúl Grijalva",66,"M","Democrat","rep","AZ","2009-04-03 16:55:32",1921,1717,12033,271
"RobPortman","P000449","Robert Portman",58,"M","Republican","sen","OH","2009-01-12 20:56:42",2002,3546,39241,1631
"RobWittman","W000804","Robert Wittman",55,"M","Republican","rep","VA","2008-07-08 18:25:49",2190,4199,13748,7145
"Robert_Aderholt","A000055","Robert Aderholt",48,"M","Republican","rep","AL","2009-09-22 21:16:37",1749,919,7516,65
"RodneyDavis","D000619","Rodney Davis",44,"M","Republican","rep","IL","2012-12-06 14:20:04",578,1541,3615,516
"RonWyden","W000779","Ron Wyden",65,"M","Democrat","sen","OR","2011-02-10 16:08:15",1243,1400,30040,291
"RosLehtinen","R000435","Ileana Ros-Lehtinen",62,"F","Republican","rep","FL","2008-04-01 14:59:30",2288,13764,57019,1426
"RosaDeLauro","D000216","Rosa DeLauro",71,"F","Democrat","rep","CT","2010-05-05 18:11:32",1524,2881,12331,1641
"RoyBlunt","B000575","Roy Blunt",64,"M","Republican","sen","MO","2009-02-19 02:58:03",1964,4078,31553,6763
"SamsPressShop","J000174","Sam Johnson",83,"M","Republican","rep","TX","2011-02-08 19:01:18",1245,401,3078,419
"SanfordBishop","B000490","Sanford Bishop",67,"M","Democrat","rep","GA","2011-02-09 00:23:10",1244,894,6270,620
"SaxbyChambliss","C000286","Saxby Chambliss",70,"M","Republican","sen","GA","2012-03-27 14:03:27",832,795,11212,197
"SenAlexander","A000360","Lamar Alexander",74,"M","Republican","sen","TN","2009-09-23 13:58:50",1748,1089,22604,393
"SenAngusKing","K000383","Angus King",70,"M","Independent","sen","ME","2013-01-07 14:52:27",546,926,7591,307
"SenBennetCo","B001267","Michael Bennet",49,"M","Democrat","sen","CO","2010-12-08 16:29:29",1307,853,18015,59
"SenBillNelson","N000032","Bill Nelson",71,"M","Democrat","sen","FL","2009-02-11 15:44:25",1972,486,37040,100
"SenBlumenthal","B001277","Richard Blumenthal",68,"M","Democrat","sen","CT","2011-04-06 17:13:53",1188,2833,19334,634
"SenBobCasey","C001070","Robert Casey",54,"M","Democrat","sen","PA","2010-07-27 18:38:20",1441,1369,20132,310
"SenBobCorker","C001071","Bob Corker",61,"M","Republican","sen","TN","2009-09-11 03:56:08",1760,1755,30357,435
"SenBookerOfc","B001288","Cory Booker",45,"M","Democrat","sen","NJ","2013-10-31 19:02:04",249,412,1378,54
"SenBrianSchatz","S001194","Brian Schatz",41,"M","Democrat","sen","HI","2013-03-12 14:23:20",482,193,3153,1352
"SenCarlLevin","L000261","Carl Levin",80,"M","Democrat","sen","MI","2009-12-01 01:44:01",1679,660,19015,2
"SenCoonsOffice","C001088","Chris Coons",50,"M","Democrat","sen","DE","2011-12-13 04:02:30",937,1965,2841,111
"SenDanCoats","C000542","Daniel Coats",71,"M","Republican","sen","IN","2010-11-05 15:56:49",1340,2347,17300,587
"SenDeanHeller","H001041","Dean Heller",54,"M","Republican","sen","NV","2011-03-14 18:31:08",1211,2482,12990,4229
"SenDonnelly","D000607","Joe Donnelly",58,"M","Democrat","sen","IN","2010-11-16 22:24:01",1329,1410,12546,262
"SenFeinstein","F000062","Dianne Feinstein",81,"F","Democrat","sen","CA","2012-01-27 23:06:59",892,1238,36151,127
"SenJackReed","R000122","John Reed",64,"M","Democrat","sen","RI","2012-02-08 15:24:01",880,2065,10837,11
"SenJeffMerkley","M001176","Jeff Merkley",57,"M","Democrat","sen","OR","2009-04-06 13:38:39",1918,1567,29062,127
"SenJohnBarrasso","B001261","John Barrasso",62,"M","Republican","sen","WY","2010-10-13 14:49:08",1363,1909,16135,427
"SenJohnHoeven","H001061","John Hoeven",57,"M","Republican","sen","ND","2011-09-30 17:55:30",1011,621,8559,397
"SenJohnMcCain","M000303","John McCain",77,"M","Republican","sen","AZ","2009-01-23 13:42:31",1991,6884,1892108,319
"SenJohnThune","T000250","John Thune",53,"M","Republican","sen","SD","2011-05-10 16:41:48",1154,1523,27251,304
"SenJohnsonSD","J000177","Tim Johnson",67,"M","Democrat","sen","SD","2011-01-28 21:37:51",1256,1277,11318,52
"SenKaineOffice","K000384","Timothy Kaine",56,"M","Democrat","sen","VA","2013-03-14 20:33:03",480,359,2403,122
"SenLandrieu","L000550","Mary Landrieu",58,"F","Democrat","sen","LA","2011-11-15 22:40:40",965,1947,16143,239
